h3_index,Autoctona,Foranea,ratio
89c2e31047bffff,10,145,0.06451612903225806
89c2e310483ffff,0,1,0.0
89c2e31048bffff,0,1,0.0
89c2e3104a3ffff,3,200,0.014778325123152709
89c2e3104a7ffff,14,403,0.03357314148681055
89c2e3104abffff,7,206,0.03286384976525822
89c2e3104afffff,2,219,0.00904977375565611
89c2e3104b3ffff,0,107,0.0
89c2e3104b7ffff,1,87,0.011363636363636364
89c2e3104bbffff,0,64,0.0
89c2e3104c3ffff,6,0,1.0
89c2e3104cbffff,0,3,0.0
89c2e3104cfffff,0,3,0.0
89c2e3104d7ffff,2,22,0.08333333333333333
89c2e3104dbffff,0,19,0.0
89c2e310503ffff,3,133,0.022058823529411766
89c2e310507ffff,0,98,0.0
89c2e31050bffff,6,142,0.04054054054054054
89c2e31050fffff,4,102,0.03773584905660377
89c2e310513ffff,9,176,0.04864864864864865
89c2e310517ffff,3,194,0.015228426395939087
89c2e31051bffff,8,219,0.03524229074889868
89c2e310523ffff,8,166,0.04597701149425287
89c2e310527ffff,6,153,0.03773584905660377
89c2e31052bffff,3,154,0.01910828025477707
89c2e31052fffff,5,138,0.03496503496503497
89c2e310533ffff,1,165,0.006024096385542169
89c2e310537ffff,4,206,0.01904761904761905
89c2e31053bffff,3,105,0.027777777777777776
89c2e310543ffff,4,184,0.02127659574468085
89c2e310547ffff,7,175,0.038461538461538464
89c2e31054bffff,14,210,0.0625
89c2e31054fffff,8,158,0.04819277108433735
89c2e310553ffff,13,171,0.07065217391304347
89c2e310557ffff,22,181,0.10837438423645321
89c2e31055bffff,2,146,0.013513513513513514
89c2e310563ffff,4,108,0.03571428571428571
89c2e310567ffff,10,198,0.04807692307692308
89c2e31056bffff,1,87,0.011363636363636364
89c2e31056fffff,3,150,0.0196078431372549
89c2e310573ffff,1,158,0.006289308176100629
89c2e310577ffff,7,114,0.05785123966942149
89c2e31057bffff,1,149,0.006666666666666667
89c2e310583ffff,14,201,0.06511627906976744
89c2e310587ffff,4,155,0.025157232704402517
89c2e31058bffff,8,184,0.041666666666666664
89c2e31058fffff,5,152,0.03184713375796178
89c2e310593ffff,14,166,0.07777777777777778
89c2e310597ffff,11,141,0.07236842105263158
89c2e31059bffff,14,245,0.05405405405405406
89c2e3105a3ffff,7,79,0.08139534883720931
89c2e3105a7ffff,0,120,0.0
89c2e3105abffff,3,108,0.02702702702702703
89c2e3105afffff,2,120,0.01639344262295082
89c2e3105b3ffff,5,153,0.03164556962025317
89c2e3105b7ffff,2,155,0.012738853503184714
89c2e3105bbffff,3,136,0.02158273381294964
89c2e3105c3ffff,13,299,0.041666666666666664
89c2e3105c7ffff,21,324,0.06086956521739131
89c2e3105cbffff,4,88,0.043478260869565216
89c2e3105cfffff,29,247,0.10507246376811594
89c2e3105d3ffff,9,341,0.025714285714285714
89c2e3105d7ffff,6,232,0.025210084033613446
89c2e3105dbffff,4,210,0.018691588785046728
89c2e310603ffff,7,215,0.03153153153153153
89c2e310607ffff,6,162,0.03571428571428571
89c2e31060bffff,10,205,0.046511627906976744
89c2e31060fffff,16,227,0.06584362139917696
89c2e310613ffff,5,216,0.02262443438914027
89c2e310617ffff,6,163,0.03550295857988166
89c2e31061bffff,4,216,0.01818181818181818
89c2e310623ffff,2,128,0.015384615384615385
89c2e310627ffff,11,210,0.049773755656108594
